阿克陶县,653022000000
阿合奇县,653023000000
叶城县,653126000000
巴楚县,653130000000
洛浦县,653224000000
策勒县,653225000000
察布查尔锡伯自治县,654022000000
沙湾县,654223000000
绿春县,532531000000
马关县,532625000000
勐腊县,532823000000
城关区,540102000000
昂仁县,542327000000
定结县,542332000000
金台区,610303000000
太白县,610331000000
临渭区,610502000000
合阳县,610524000000
勉县,610725000000
榆林市,610800000000
镇安县,611025000000
麦积区,620503000000
民乐县,620722000000
玉门市,620981000000
华池县,621023000000
临夏回族自治州,622900000000
甘南藏族自治州,623000000000
青海省,630000000000
沐川县,511129000000
营山县,511322000000
巴中市,511900000000
南江县,511922000000
小金县,513227000000
若尔盖县,513232000000
雅江县,513325000000
新龙县,513329000000
凉山彝族自治州,513400000000
钟山区,520201000000
红花岗区,520302000000
松桃苗族自治县,520628000000
册亨县,522327000000
阜宁县,320923000000
东台市,320981000000
扬州市,321000000000
镇海区,330211000000
湖州市,330500000000
诸暨市,330681000000
三门县,331022000000
郊区,340711000000
枞阳县,340823000000
桐城市,340881000000
蒙城县,341622000000
宣城市,341800000000
明溪县,350421000000
政和县,350725000000
庐山区,360402000000
余江县,360622000000
吉水县,360822000000
皮山农场,661402000000
兵团直属,661500000000
浉河区,411502000000
乃东县,542221000000
日喀则市,542301000000
泰来县,230224000000
石棉县,511824000000
阳江市,441700000000
罗田县,421123000000
白塔区,211002000000
河口瑶族自治县,532532000000
盈江县,533123000000
商洛市,611000000000
酒泉市,620900000000
弋江区,340203000000
太和区,210711000000
辉南县,220523000000
宜兴市,320282000000
钟楼区,320404000000
襄垣县,140423000000
汾西县,141034000000
丰镇市,150981000000
普兰店市,210282000000
西乡塘区,450107000000
鼎城区,430703000000
江永县,431125000000
忻城县,451321000000
巫溪县,500238000000
武侯区,510107000000
崇州市,510184000000
饶平县,445122000000
柳南区,450204000000
平乐县,450330000000
宜春市,360900000000
青岛市,370200000000
淄博市,370300000000
薛城区,370403000000
滕州市,370481000000
烟台市,370600000000
泗水县,370831000000
泰安市,370900000000
东平县,370923000000
广陵区,321002000000
宿迁市,321300000000
阜南县,341225000000
郎溪县,341821000000
进贤县,360124000000
星子县,360427000000
河源市,441600000000
漯河市,411100000000
和平区,120101000000
大庆市,230600000000
嘉兴市,330400000000
蒙自市,532503000000
香格里拉县,533421000000
达孜县,540126000000
浪卡子县,542233000000
宜宾县,511521000000
水富县,530630000000
苍梧县,450421000000
汉南区,420113000000
沙市区,421002000000
岳阳县,430621000000
陵县,371421000000
西市区,210803000000
抚远县,230833000000
惠安县,350521000000
弋阳县,361126000000
农垦红兴隆管理局,235303000000
农垦九三管理局,235307000000
121团,660801000000
133团,660804000000
